,Country,Date,Confirmed,Deaths,Recovered
12367,Nigeria,2020-02-28,1.0,0.0,0.0
12368,Nigeria,2020-02-29,1.0,0.0,0.0
12369,Nigeria,2020-03-01,1.0,0.0,0.0
12370,Nigeria,2020-03-02,1.0,0.0,0.0
12371,Nigeria,2020-03-03,1.0,0.0,0.0
12372,Nigeria,2020-03-04,1.0,0.0,0.0
12373,Nigeria,2020-03-05,1.0,0.0,0.0
12374,Nigeria,2020-03-06,1.0,0.0,0.0
12375,Nigeria,2020-03-07,1.0,0.0,0.0
12376,Nigeria,2020-03-08,1.0,0.0,0.0
12377,Nigeria,2020-03-09,2.0,0.0,0.0
12378,Nigeria,2020-03-10,2.0,0.0,0.0
12379,Nigeria,2020-03-11,2.0,0.0,0.0
12380,Nigeria,2020-03-12,2.0,0.0,0.0
12381,Nigeria,2020-03-13,2.0,0.0,0.0
12382,Nigeria,2020-03-14,2.0,0.0,0.0
12383,Nigeria,2020-03-15,2.0,0.0,0.0
12384,Nigeria,2020-03-16,2.0,0.0,0.0
12385,Nigeria,2020-03-17,3.0,0.0,0.0
12386,Nigeria,2020-03-18,8.0,0.0,1.0
12387,Nigeria,2020-03-19,8.0,0.0,1.0
12388,Nigeria,2020-03-20,12.0,0.0,1.0
12389,Nigeria,2020-03-21,22.0,0.0,1.0
12390,Nigeria,2020-03-22,30.0,0.0,2.0
12391,Nigeria,2020-03-23,40.0,1.0,2.0
12392,Nigeria,2020-03-24,44.0,1.0,2.0
12393,Nigeria,2020-03-25,51.0,1.0,2.0
12394,Nigeria,2020-03-26,65.0,1.0,2.0
12395,Nigeria,2020-03-27,70.0,1.0,3.0
12396,Nigeria,2020-03-28,89.0,1.0,3.0
12397,Nigeria,2020-03-29,111.0,1.0,3.0
12398,Nigeria,2020-03-30,131.0,2.0,8.0
12399,Nigeria,2020-03-31,135.0,2.0,8.0
12400,Nigeria,2020-04-01,174.0,2.0,9.0
12401,Nigeria,2020-04-02,184.0,2.0,20.0
12402,Nigeria,2020-04-03,210.0,4.0,25.0
12403,Nigeria,2020-04-04,214.0,4.0,25.0
12404,Nigeria,2020-04-05,232.0,5.0,33.0
12405,Nigeria,2020-04-06,238.0,5.0,35.0
12406,Nigeria,2020-04-07,254.0,6.0,44.0
12407,Nigeria,2020-04-08,276.0,6.0,44.0
12408,Nigeria,2020-04-09,288.0,7.0,51.0
12409,Nigeria,2020-04-10,305.0,7.0,58.0
12410,Nigeria,2020-04-11,318.0,10.0,70.0
